,"National Assessment and Accreditation Council, Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colleges accredited by NAAC having valid accreditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr. No.,Name of the College,State,CGPA,Grade,Accreditation valid up to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,"Government Degree College, Krishna, Tiruvuru – 521235 (Second Cycle) ",Andhra Pradesh,2.04,B,16-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,"Government Degree College, Kurnool Dist, 518401 (Second Cycle)",Andhra Pradesh,2.4,B,30-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,"Government Degree College, Mandapeta, East Godavari – 533308 (First Cycle) ",Andhra Pradesh,2.21,B,16-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,"Government Degree College, Narsipatnam, Visakhapatnam – 531116 (Second Cycle) ",Andhra Pradesh,2.16,B,13-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,"Government Degree College, Nellore District, Naidupet – 524126 (Second Cycle)",Andhra Pradesh,2.17,B,18-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,"Government Degree College, Pattikonda, Kurnool – 518380 (Second Cycle) ",Andhra Pradesh,2.3,B,13-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,"Government Degree College, Seethanagaram, East Godavari, Rajahmundry – 533287 (First Cycle) ",Andhra Pradesh,2.02,B,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,"Government Degree College, Srikakulam Dist, 532201 (Second Cycle)",Andhra Pradesh,2.82,B,30-04-2020,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,"Government Degree College, Srikakulam Dist, 532421 (Second Cycle)",Andhra Pradesh,2.25,B,30-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,"Government Degree College, Uravakonda, Anantapur – 515812 (First Cycle)",Andhra Pradesh,2.02,B,18-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,"Government Degree College, Vizianagaram, Salur – 535591 (Second Cycle)",Andhra Pradesh,2.3,B,18-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,"Gudlavalleru Engineering College, Krishna – 521356 (First Cycle, Re-assessment)",Andhra Pradesh,3.07,A,28-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,"K.H. Government Degree College,  Anantapuram Dist, 515671 (First Cycle)",Andhra Pradesh,1.83,C,30-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,"Krishna Chaitanya Institute of Technology and Sciences,Peddaraveedu Mandal, Prakasam, Markapur – 523320 (First Cycle",Andhra Pradesh,2.8,B,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,"KVR,KVR & MKR  College, Guntur – 522329 (Second Cycle) ",Andhra Pradesh,2.81,B,16-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,"M V R College of Engineering and Technology, Vijayawada – 521180 (First Cycle) ",Andhra Pradesh,3.09,A,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,"Montessori Mahila Kalasala,Vijayawada – 520010 (Third Cycle)",Andhra Pradesh,2.85,B,16-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,"Mrs. A. V. N. College, I Town, Visakhapatnam – 530001 (Third Cycle)",Andhra Pradesh,3.07,A,11-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,"MVN., JS and RVR College of Arts and Science, Malikipuram, East Godavari – 533253 (Second Cycle) ",Andhra Pradesh,2.78,B,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,"N. S. P. R. Government College for Women, Hindupur, Anantapur – 515201 (First Cycle)",Andhra Pradesh,2.05,B,18-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,"N.T.R. Government Degree College, Chittoor Dist, 517299 (Second Cycle)",Andhra Pradesh,2.41,B,30-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,"Narayana Dental College, Chinthareddypalem, Nellore – 524003 (First Cycle) ",Andhra Pradesh,3.13,A,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,"Narayana Medical College, Nellore – 524003 (First Cycle)",Andhra Pradesh,3.07,A,18-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,"Nirmala College of Pharmacy, Atmakuru, Mangalagiri, Guntur – 522503 (First Cycle)",Andhra Pradesh,2.85,B++,11-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,"P. R. R. & V. S. Government College Vidavalur SPSR, Nellore – 524318 (Second Cycle) ",Andhra Pradesh,2.04,B,13-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,"P.S.C. & K.V.S.C. Government College, Kurnool Dist, 518502 (Second Cycle)",Andhra Pradesh,2.34,B,30-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,"PACE Institute of Technology and Sciences, Ongole – 523272 (First Cycle)",Andhra Pradesh,3.05,A,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,"Parvathareddy Babul Reddy Visvodaya Institute of Technology and Science, Kavali – 524201 (First Cycle)",Andhra Pradesh,3.1,A,13-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,"Pragati Engineering College, East Godavari, 533437 (First Cycle)",Andhra Pradesh,3.08,A,10-05-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,"Priyadarshini College of Engineering and Technology, Kanuparthipadu, Nellore – 524004 (First Cycle)",Andhra Pradesh,2.29,B,11-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,"R.R.D.S. Government Degree College, Bhimavaram, West Goda vari Dist, 534202 (First Cycle)",Andhra Pradesh,1.74,C,24-06-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,"Raghavendra Institute of Pharmaceutical Education and Research (RIPER), Anantapur – 515721 (First Cycle) ",Andhra Pradesh,2.77,B,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,"Raghu Engineering College, Visakhapatnam – 531162 (First Cycle)",Andhra Pradesh,3.06,A,10-07-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
